spec,description,category,section_note,area,room_type_quantities,attic_stock,total,uom,notes,source_page,item_id,vendor,model,part_number,unit_cost,warranty_months,warranty_start,warranty_end,installed_date,last_replaced,on_hand,min_on_hand,storage_location,link,image_urls,tags
B-01,"Bullnose Tile Base at Guest Bath ONLY - 4""H x 24""L (entry recieves B-02)",FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,"{'ID-400': 130, 'ID-401': 52, 'ID-410': 28, 'ID-405': 360, 'ID-409': 135, 'ID-407': 200, 'ID-408': 108, 'ID-412': 11, 'ID-402': 640, 'ID-403': 40, 'ID-404': 10, 'ID-406': 84, 'ID-411': 36, 'ID-413': 13}",,1860.0,PC,Portfolio - Ash Grey #PF05 (10 pcs per Carton),3,B-01-01-p03,,,,,,,,,,,,,,[],[]
B-02 (supplier C),"Vinyl Millwork Base at Guestroom/Guest Entry - 4.5""H - Oyster Color",FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,255.0,CTN,48 LF per CTN - QTY per Seaming Diagram: 250 CTNs,4,B-02 (supplier C)-01-p04,,,,,,,,,,,,,,[],[]
CP-01,"Guestroom Carpet Tile (24x24) with Attached Cushion/Pad Backing, MONOLITHIC
INSTALL",FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,4308.0,SYD,"QTY per Seaming Diagram: 4,208 SYDs",4,CP-01-01-p04,,,,,,,,,,,,,,[],[]
B-02A,Adhesive for Vinyl Millwork Base - (TUBES),FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,25.0,CTN,,4,B-02A-01-p04,,,,,,,,,,,,,,[],[]
CP-01A,"Adhesive for Carpet Tile Install - QTY COVERS PUBLIC SPACE TOO, 4GAL",FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,74.0,EA,,4,CP-01A-01-p04,,,,,,,,,,,,,,[],[]
TH-01,Vinyl Threshold at Guestroom Entry and Connecting Doors - BY GC,FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,,,Provided by GC,4,TH-01-01-p04,,,,,,,,,,,,,,[],[]
TS-01,Schluter Metal Edge Trim/Transition Strip - PROVIDED BY GC,FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,,,Provided by GC,4,TS-01-01-p04,,,,,,,,,,,,,,[],[]
WC-01,Accent Wallcovering at Headboard Wall,FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,"{'ID-400': 73, 'ID-401': 28, 'ID-410': 24, 'ID-405': 200, 'ID-409': 65, 'ID-407': 80, 'ID-408': 40, 'ID-412': 12, 'ID-402': 832, 'ID-403': 64, 'ID-404': 14, 'ID-406': 48, 'ID-411': 42, 'ID-413': 14}",,1620.0,LYD,"NA-KIN-203 (Estimated Takeoff QTY is 1,536 LYDs)",4,WC-01-01-p04,,,,,,,,,,,,,,[],[]
VWC-02,Wallcovering at Guest Bath,FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,"{'ID-400': 180, 'ID-401': 88, 'ID-410': 36, 'ID-405': 460, 'ID-409': 170, 'ID-407': 248, 'ID-408': 136, 'ID-412': 15, 'ID-402': 1248, 'ID-403': 90, 'ID-404': 21, 'ID-406': 104, 'ID-411': 57, 'ID-413': 15}",,2910.0,LYD,"WG333134527 - Innvision Takeoff QTY: 2,868 LYDs",4,VWC-02-01-p04,,,,,,,,,,,,,,[],[]
WP-01,"Corner Guard at Guestroom - 3/4""wings x 8'H - Color: Feather #0238",FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 60, 'ID-409': 15, 'ID-407': 24, 'ID-408': 12, 'ID-412': 1, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 12, 'ID-411': 3, 'ID-413': 1}",,214.0,EA,,4,WP-01-01-p04,,,,,,,,,,,,,,[],[]
WP-02,"Corner Guard at Guest Bath - 3/4""wings x 8'H - Color: 0101 Designer White",FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,"{'ID-400': 20, 'ID-401': 8, 'ID-412': 1, 'ID-413': 1}",,30.0,EA,,4,WP-02-01-p04,,,,,,,,,,,,,,[],[]
TA-24,Guest Bath Robe/Towel Wall Hooks - Sky Blue Color (2 per bath),Adhesive for Corner Guards Installation,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,"{'ID-400': 20, 'ID-401': 8, 'ID-410': 4, 'ID-405': 40, 'ID-409': 10, 'ID-407': 16, 'ID-408': 8, 'ID-412': 2, 'ID-402': 128, 'ID-403': 10, 'ID-404': 2, 'ID-406': 8, 'ID-411': 6, 'ID-413': 2}",,264.0,EA,,4,TA-24-01-p04,,,,,,,,,,,,,,[],[]
PT-01 thru PT-50,"ALL Paint Finishes for Guestroom Walls, Ceiling, Trim - PROVIDED BY GC",Adhesive for Corner Guards Installation,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,,,Provided by GC,4,PT-01 thru PT-50-01-p04,,,,,,,,,,,,,,[],[]
GR-700,"55"" Guestroom TV - LG #55UN560H0UA",ANCILLARY,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-411': 3, 'ID-413': 1}",1.0,133.0,EA,,4,GR-700-01-p04,,,,,,,,,,,,,,[],[]
GR-701,Pull Out/Articulating Wall Mount at TV - Peerless #HPF650,ANCILLARY,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,"{'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-406': 4}",,42.0,EA,,4,GR-701-01-p04,,,,,,,,,,,,,,[],[]
GR-704,Swivel Deck-Mount at Desk/Console for TV - Peerless #PTS4x4,ANCILLARY,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-411': 3, 'ID-413': 1}",,90.0,EA,,4,GR-704-01-p04,,,,,,,,,,,,,,[],[]
GR-900,Guest Bath Trash Can,ANCILLARY,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,35.0,CS,4 per Case Pack,4,GR-900-01-p04,,,,,,,,,,,,,,[],[]
GR-900L,Guest Bath Trash Can Liner,ANCILLARY,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,7.0,CS,24 per Case Pack,4,GR-900L-01-p04,,,,,,,,,,,,,,[],[]
GR-901,"Guestroom Trash and Recycling Wastebasket (dual) - Cordoba, Black",ANCILLARY,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,24.0,CS,6 per Case Pack,4,GR-901-01-p04,,,,,,,,,,,,,,[],[]
GR-901L,Guestroom Trash and Recycling Wastebasket (dual) - LINER,ANCILLARY,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,12.0,CS,12 per Case Pack,4,GR-901L-01-p04,,,,,,,,,,,,,,[],[]
PA-100,Upholstered Dining Chair,LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,8.0,EA,Includes Specified Vinyl: Fil Doux's Snippet - Sunflower,4,PA-100-01-p04,,,,,,,,,,,,,,[],[]
PA-101,Wood Frame Dining Chair,LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,20.0,EA,Includes Specified Vinyl: PK's Flight Deck - Klein Blue,4,PA-101-01-p04,,,,,,,,,,,,,,[],[]
PA-102,"Low Back Counterstool at Existing Communal Table bi-level ledge - 22""SH (5 AT
COMMUNAL LEDGE, 1 AT GUEST LAUNDRY)",LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,6.0,EA,Includes Specified Vinyl: KBC's Pathfinder Canyon,4,PA-102-01-p04,,,,,,,,,,,,,,[],[]
PA-103,"Lobby 2-Sided Communal Sofa - 162""W with 6 integrated power units; 1 SET is
made up of 6 units",LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,1.0,SET,Specified fabric Graded in: PK's Right Angle - Admiral,4,PA-103-01-p04,,,,,,,,,,,,,,[],[]
PA-106,Lounge Chair with Tapered Legs - REMOVED IN UPDATED DWG SET,LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,,EA,Specified fabric Graded in: PK's Idiom - Golden,4,PA-106-01-p04,,,,,,,,,,,,,,[],[]
PA-107,Lounge Chair at Breakfast Area,LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,6.0,EA,Specified fabric Graded in: KBC's Beck Nano - Aquamarine,4,PA-107-01-p04,,,,,,,,,,,,,,[],[]
PA-110,Swivel Lounge Chair at Breakfast Area,LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,2.0,EA,Specified fabric Graded in: PK's Beatrix - Lakeland,4,PA-110-01-p04,,,,,,,,,,,,,,[],[]
PA-111,Ottoman with wood base at Breakfast Area,LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,1.0,EA,Specified fabric Graded in: PK's Breakaway - Custom Navy,4,PA-111-01-p04,,,,,,,,,,,,,,[],[]
PA-150,"Barstool at Bi-Level Communal Table Ledge - 31""SH (REMOVED)",LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,,EA,Specified vinyl Graded in: KBC's Canyon - Pathfinder,4,PA-150-01-p04,,,,,,,,,,,,,,[],[]
PA-201,Lobby Pendant with Multiple Heads - adjustable length and height,LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,4.0,EA,,4,PA-201-01-p04,,,,,,,,,,,,,,[],[]
PA-201B,"5W LED Bulbs (E26, 2700K) - 8 per pendant",LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},4.0,36.0,EA,,4,PA-201B-01-p04,,,,,,,,,,,,,,[],[]
PA-202,Typ. Public Space LED Wall Sconce at 1st Floor - 14W Integrated LED,LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},1.0,20.0,EA,15 ON ID-300A AND 4 ON ID-300B,4,PA-202-01-p04,,,,,,,,,,,,,,[],[]
PA-203,Decorative Pendants at Pantry,LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,3.0,EA,,4,PA-203-01-p04,,,,,,,,,,,,,,[],[]
PA-203B,LED Bulbs at Pantry Pendants (9W),LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,3.0,EA,,4,PA-203B-01-p04,,,,,,,,,,,,,,[],[]
PA-301,"2-Top Dining Table (24x30) - Sap Walnut HPL Top, Black Base",LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,6.0,EA,,4,PA-301-01-p04,,,,,,,,,,,,,,[],[]
PA-303ADA,"ADA Dining Table (60x30) - Sap Walnut HPL Top, (2) T-Foot Bases",LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,1.0,EA,,4,PA-303ADA-01-p04,,,,,,,,,,,,,,[],[]
PA-304,"Tea Height Table at Breakfast Area - 30""Dia. (Quartz Top)",LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,3.0,EA,,4,PA-304-01-p04,,,,,,,,,,,,,,[],[]
PA-309,Side Accent C-Table at Lobby/Breakfast,LOBBY & BREAKFAST,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,1.0,EA,,4,PA-309-01-p04,,,,,,,,,,,,,,[],[]
PA-310,"Printer Cabinet Unit - 24""W",,,Public Areas,,,1.0,EA,,5,PA-310-01-p05,,,,,,,,,,,,,,[],[]
PA-311,"2-Top Dining Table (24x30) - Mangalore Mango HPL Top, Black Base",,,Public Areas,,,6.0,EA,,5,PA-311-01-p05,,,,,,,,,,,,,,[],[]
PA-351,ADA Dining Table at Breakfast - 36x36 (4 legs with clearance),,,Public Areas,,,2.0,EA,,5,PA-351-01-p05,,,,,,,,,,,,,,[],[]
PA-312,Retail/Market Shelving Millwork Units - A through D,,,Public Areas,,,1.0,LOT,,5,PA-312-01-p05,,,,,,,,,,,,,,[],[]
PA-353,"Window Ledge Seating - 120""W x 24""D x 34""H (counter height)",,,Public Areas,,,1.0,EA,,5,PA-353-01-p05,,,,,,,,,,,,,,[],[]
PA-315CSTM,"Custom Hospitality Station with Quartz Top - 84""W",,,Public Areas,,,1.0,SET,,5,PA-315CSTM-01-p05,,,,,,,,,,,,,,[],[]
PA-315A,Buffet/Breakfast Servery Cabinetry with Quartz Tops,,,Public Areas,,,1.0,SET,,5,PA-315A-01-p05,,,,,,,,,,,,,,[],[]
PA-315B,"Cereal Cabinetry with Quartz Tops at Breakfast Pantry (102""W)",,,Public Areas,,,1.0,SET,,5,PA-315B-01-p05,,,,,,,,,,,,,,[],[]
PA-315C,Waffle Making Area Cabinetry with Quartz Top,,,Public Areas,,,1.0,SET,,5,PA-315C-01-p05,,,,,,,,,,,,,,[],[]
PA-315D,Buffet Island Cabinetry with Quartz Top,,,Public Areas,,,1.0,SET,,5,PA-315D-01-p05,,,,,,,,,,,,,,[],[]
PA-315E,Juice Area Cabinetry with Quartz Top,,,Public Areas,,,,SET,DELETED,5,PA-315E-01-p05,,,,,,,,,,,,,,[],[]
PA-400,"Inside Mount Sheer Roller Shade at Lobby/Breakfast- Inside Mounted with 4""H
Fascia, painted to match #SW7671 On the Rocks - Manual controls/SS bead chain
with clutch. Sheer Fabric is graded in: 2 Windows are 72”W x 130”H, 1 Window is
60”W x 130”H",,,Public Areas,,,1.0,LOT,,5,PA-400-01-p05,,,,,,,,,,,,,,[],[]
PA-502,"Artwork at Lobby - 48""W x 30""H",,,Public Areas,,,1.0,EA,,5,PA-502-01-p05,,,,,,,,,,,,,,[],[]
PA-503,"Artwork at 1st Floor Elevator Lobby - SET OF 2, 30x42 each",,,Public Areas,,,1.0,PR,,5,PA-503-01-p05,,,,,,,,,,,,,,[],[]
PA-504A/B/C,"Coffee Cup Graphics Artwork at Pantry - SET OF 3, 18x18 each",,,Public Areas,,,1.0,SET,,5,PA-504A/B/C-01-p05,,,,,,,,,,,,,,[],[]
PA-505,"Custom Artwork at Breakfast Area - 60""W x 42""H",,,Public Areas,,,1.0,EA,,5,PA-505-01-p05,,,,,,,,,,,,,,[],[]
PA-506,"Custom Artwork at Breakfast Area - 36""W x 36""H, SET OF 2",,,Public Areas,,,1.0,SET,,5,PA-506-01-p05,,,,,,,,,,,,,,[],[]
PA-550,"Wall-Mounted Moment (Feature) at Front Desk - 8'7""W x 42""OAH",,,Public Areas,,,1.0,EA,,5,PA-550-01-p05,,,,,,,,,,,,,,[],[]
PA-800,"55"" TVs throughout Public Space: (2) at Meeting Room, (2) at Breakfast, (1) at
Boardroom, (2) at Breakout Meeting Rooms, (1) at Fitness",,,Public Areas,,,8.0,EA,,5,PA-800-01-p05,,,,,,,,,,,,,,[],[]
PA-801,"Pull-Out/Articulating Wall Mount for 55"" TVs - #HPF650",,,Public Areas,,,8.0,EA,,5,PA-801-01-p05,,,,,,,,,,,,,,[],[]
PA-551,"Artwork at Hospitality Station - 45.5""W x 16.5""H",,,Public Areas,,,1.0,EA,,5,PA-551-01-p05,,,,,,,,,,,,,,[],[]
PA-900A/B/C,Accessory Sets at Breakfast Area/Pantry,,,Public Areas,,,1.0,LOT,,5,PA-900A/B/C-01-p05,,,,,,,,,,,,,,[],[]
PA-112,Omega II Stack Chair at Meeting Room with COM Fabric,MEETING SPACES,,Public Areas,,,100.0,EA,,5,PA-112-01-p05,,,,,,,,,,,,,,[],[]
PA-112F,COM Fabric at Meeting Room Stack Chairs,MEETING SPACES,,Public Areas,,,90.0,YD,,5,PA-112F-01-p05,,,,,,,,,,,,,,[],[]
PA-113-CST,Boardroom Task Chairs,MEETING SPACES,,Public Areas,,,,EA,"Required to be Replaced per Hilton; However, Existing to be kept & tried
in newly finished space. Will send to Hilton for reevaluation.",5,PA-113-CST-01-p05,,,,,,,,,,,,,,[],[]
PA-317,"Boardroom Table with Integrated Power Hubs - 240""W x 60""D",MEETING SPACES,,Public Areas,,,,EA,,5,PA-317-01-p05,,,,,,,,,,,,,,[],[]
PA-204,"5-head Decorative Pendant at Boardroom - 48""W",MEETING SPACES,,Public Areas,,,2.0,EA,,5,PA-204-01-p05,,,,,,,,,,,,,,[],[]
PA-204B,7W A15 2700K Bulbs for Boardroom Pendants,MEETING SPACES,,Public Areas,,,12.0,EA,,5,PA-204B-01-p05,,,,,,,,,,,,,,[],[]
PA-314,"Meeting Room Folding Table - 72""W x 18""D",MEETING SPACES,,Public Areas,,,,EA,N/A - EXISTING WILL REMAIN,5,PA-314-01-p05,,,,,,,,,,,,,,[],[]
PA-552,"Artwork at Breakout Room A - 36x36, Framed Paper Print",MEETING SPACES,,Public Areas,,,1.0,EA,,5,PA-552-01-p05,,,,,,,,,,,,,,[],[]
PA-553,"Artwork at Breakout Room B - 36x36, Framed Paper Print",MEETING SPACES,,Public Areas,,,1.0,EA,,5,PA-553-01-p05,,,,,,,,,,,,,,[],[]
PA-554,"Artwork at Boardroom - Canvas Prints in Floater Frames - TRIPTYCH; Each Panel is
27""W x 42""H (OAW of 90"")",MEETING SPACES,,Public Areas,,,1.0,SET,,5,PA-554-01-p05,,,,,,,,,,,,,,[],[]
PA-557,"Artwork at Boardroom Counter, Canvas in Floater Frame - 42""W x 30""H",MEETING SPACES,,Public Areas,,,1.0,EA,,5,PA-557-01-p05,,,,,,,,,,,,,,[],[]
PA-560,"Artwork at Meeting Room A Alcove - 36x36, Framed Paper Print",MEETING SPACES,,Public Areas,,,1.0,EA,,5,PA-560-01-p05,,,,,,,,,,,,,,[],[]
PA-561,"Artwork at Meeting Room B Alcove - 36x36, Framed Paper Print",MEETING SPACES,,Public Areas,,,1.0,EA,,5,PA-561-01-p05,,,,,,,,,,,,,,[],[]
PA-562,"Artwork at Meeting Rooms - 42x42, Framed Paper Prints - SET OF 4",MEETING SPACES,,Public Areas,,,1.0,SET,,5,PA-562-01-p05,,,,,,,,,,,,,,[],[]
PA-260,"LED Vanity Light at Public Restrooms - 24""W (one above each sink)","PUBLIC RESTROOMS, FITNESS, BACK OF HOUSE, POOL",,Public Areas,,,4.0,EA,,5,PA-260-01-p05,,,,,,,,,,,,,,[],[]
PA-400,"Inside Mount Sheer Roller Shade at Fitness (windows face interior corridor) -
Windows are 60""W x 72""H","PUBLIC RESTROOMS, FITNESS, BACK OF HOUSE, POOL",,Public Areas,,,,EA,Brand has approved existing blinds can remain in place,5,PA-400-02-p05,,,,,,,,,,,,,,[],[]
PA-316,"Fitness Center Towel Station with quartz top - 82""W x 24""D x 34""H","PUBLIC RESTROOMS, FITNESS, BACK OF HOUSE, POOL",,Public Areas,,,1.0,EA,,5,PA-316-01-p05,,,,,,,,,,,,,,[],[]
P-17,Sensor/Touchless Vanity Faucet,"PUBLIC RESTROOMS, FITNESS, BACK OF HOUSE, POOL",,Public Areas,,,4.0,EA,,5,P-17-01-p05,,,,,,,,,,,,,,[],[]
P-19,Employee Breakroom Faucet,"PUBLIC RESTROOMS, FITNESS, BACK OF HOUSE, POOL",,Public Areas,,,1.0,EA,,5,P-19-01-p05,,,,,,,,,,,,,,[],[]
P-23,Touchless Deck Mounted Soap Dispenser,"PUBLIC RESTROOMS, FITNESS, BACK OF HOUSE, POOL",,Public Areas,,,4.0,EA,,5,P-23-01-p05,,,,,,,,,,,,,,[],[]
P-18,Drop-In Stainless Steel Sink at Employee Breakroom,"PUBLIC RESTROOMS, FITNESS, BACK OF HOUSE, POOL",,Public Areas,,,1.0,EA,,5,P-18-01-p05,,,,,,,,,,,,,,[],[]
PA-508,"Framed Vanity Mirror at Public Restrooms, Employee RR, and Pool Restroom - 24""W
x 36""H","PUBLIC RESTROOMS, FITNESS, BACK OF HOUSE, POOL",,Public Areas,,,6.0,EA,,5,PA-508-01-p05,,,,,,,,,,,,,,[],[]
PA-509,"Framed Mirror at Fitness (above towel console) - 60""W x 30""H","PUBLIC RESTROOMS, FITNESS, BACK OF HOUSE, POOL",,Public Areas,,,1.0,EA,,5,PA-509-01-p05,,,,,,,,,,,,,,[],[]
MR-10,Plate Glass Wall at Fitness - BY GC,"PUBLIC RESTROOMS, FITNESS, BACK OF HOUSE, POOL",,Public Areas,,,,,PROVIDED BY GC,5,MR-10-01-p05,,,,,,,,,,,,,,[],[]
OF-702,Darwin Dining Armchair at Pool - Green,Artwork at Public Restrooms - EXISTING ARTWORK WILL BE RE-USED,,Public Areas,,,4.0,EA,,6,OF-702-01-p06,,,,,,,,,,,,,,[],[]
OF-703,Pool Side Lounge Chair - Maple Red,Artwork at Public Restrooms - EXISTING ARTWORK WILL BE RE-USED,,Public Areas,,,4.0,EA,,6,OF-703-01-p06,,,,,,,,,,,,,,[],[]
OF-705,Two-Top Pool Table - Cement Finish (24x32),Artwork at Public Restrooms - EXISTING ARTWORK WILL BE RE-USED,,Public Areas,,,2.0,EA,,6,OF-705-01-p06,,,,,,,,,,,,,,[],[]
OF-707,Yard Side Table - Black Finish,Artwork at Public Restrooms - EXISTING ARTWORK WILL BE RE-USED,,Public Areas,,,2.0,EA,,6,OF-707-01-p06,,,,,,,,,,,,,,[],[]
OF-708,Radius Matrix Side Table - Bright Sandstone Finish,Artwork at Public Restrooms - EXISTING ARTWORK WILL BE RE-USED,,Public Areas,,,2.0,EA,,6,OF-708-01-p06,,,,,,,,,,,,,,[],[]
PA-250,Corridor Wall Sconce,CIRCULATION: CORRIDORS/ELEVATOR LOBBIES/STAIRWELLS,,Public Areas,,,62.0,EA,"14 per Floors at Floors 2-5, 4 at 1st",6,PA-250-01-p06,,,,,,,,,,,,,,[],[]
PA-250B,4.5W T10 LED Bulb for Corridor Sconces - 2 per,CIRCULATION: CORRIDORS/ELEVATOR LOBBIES/STAIRWELLS,,Public Areas,,,128.0,EA,,6,PA-250B-01-p06,,,,,,,,,,,,,,[],[]
PA-251,"Flush Mount Corridor Ceiling Light - 17""Dia.",CIRCULATION: CORRIDORS/ELEVATOR LOBBIES/STAIRWELLS,,Public Areas,,,28.0,EA,QTY Verified by Property,6,PA-251-01-p06,,,,,,,,,,,,,,[],[]
PA-251B,9W LED Bulbs for Ceiling Lights - 3 per,CIRCULATION: CORRIDORS/ELEVATOR LOBBIES/STAIRWELLS,,Public Areas,,,85.0,EA,,6,PA-251B-01-p06,,,,,,,,,,,,,,[],[]
PA-300,"Console Table at Upper Floor Elevator Lobbies - 52""W",CIRCULATION: CORRIDORS/ELEVATOR LOBBIES/STAIRWELLS,,Public Areas,,,4.0,EA,,6,PA-300-01-p06,,,,,,,,,,,,,,[],[]
PA-400,"Inside Mount Sheer Roller Shade at Corridors - 1 per Floor, Floors 2-5",CIRCULATION: CORRIDORS/ELEVATOR LOBBIES/STAIRWELLS,,Public Areas,,,4.0,EA,,6,PA-400-03-p06,,,,,,,,,,,,,,[],[]
PA-500A,Artwork at Elevator Lobby - Floor 2 - Set of 3 Framed Custom Prints,CIRCULATION: CORRIDORS/ELEVATOR LOBBIES/STAIRWELLS,,Public Areas,,,1.0,SET,,6,PA-500A-01-p06,,,,,,,,,,,,,,[],[]
PA-500B,Artwork at Elevator Lobby - Floor 3 - Set of 3 Framed Custom Prints,CIRCULATION: CORRIDORS/ELEVATOR LOBBIES/STAIRWELLS,,Public Areas,,,1.0,SET,,6,PA-500B-01-p06,,,,,,,,,,,,,,[],[]
PA-500C,Artwork at Elevator Lobby - Floor 4 - Set of 3 Framed Custom Prints,CIRCULATION: CORRIDORS/ELEVATOR LOBBIES/STAIRWELLS,,Public Areas,,,1.0,SET,,6,PA-500C-01-p06,,,,,,,,,,,,,,[],[]
PA-500D,Artwork at Elevator Lobby - Floor 5 - Set of 3 Framed Custom Prints,CIRCULATION: CORRIDORS/ELEVATOR LOBBIES/STAIRWELLS,,Public Areas,,,1.0,SET,,6,PA-500D-01-p06,,,,,,,,,,,,,,[],[]
B-10,"Bullnose Tile Base at Public Areas (Typ.) - 4""H x 24""L",FINISHES,QTYS are Estimated and Must be Verified by GC prior to Ordering,Public Areas,,,600.0,PC,"Portfolio - Ash Grey #PF05 (10 pcs per Carton); Estimated takeoff QTY:
1,056 LF",6,B-10-01-p06,,,,,,,,,,,,,,[],[]
B-12,"Bullnose Tile Base at Pool Restroom - 4""H x 24""L",FINISHES,QTYS are Estimated and Must be Verified by GC prior to Ordering,Public Areas,,,20.0,PC,Modern Formation MF04 - Headland Fog (28 LF needed per Takeoff),6,B-12-01-p06,,,,,,,,,,,,,,[],[]
T-10,Main Public Space Floor Tile (Typ.) - 12x24,FINISHES,QTYS are Estimated and Must be Verified by GC prior to Ordering,Public Areas,,,4799.64,SFT,"Portfolio - Ash Grey #PF05 (17.02 SF per Carton) Estimated QTY per
Takeoff: 4,761 SF",6,T-10-01-p06,,,,,,,,,,,,,,[],[]
T-12,Floor and Wainscot Tile at Pool - 12x24,FINISHES,QTYS are Estimated and Must be Verified by GC prior to Ordering,Public Areas,,,1702.0,SFT,"Modern Formation MF04 - Headland Fog (17.02 SF per CTN) - Per Takeoff:
980 SF for Pool Deck, 676 SF for Wainscot",6,T-12-01-p06,,,,,,,,,,,,,,[],[]
T-13,"Bullnose Tile Wainscot Cap at Pool Wall Tile - 4""H x 24""L",FINISHES,QTYS are Estimated and Must be Verified by GC prior to Ordering,Public Areas,,,90.0,PC,Modern Formation MF04 - Headland Fog (170 LF needed per Takeoff),6,T-13-01-p06,,,,,,,,,,,,,,[],[]
T-14,Wall Tile at Pantry - 3x12,FINISHES,QTYS are Estimated and Must be Verified by GC prior to Ordering,Public Areas,,,132.0,SF,"Stagecraft #0790 Matte Arctic White (12 SF per CTN) - Qty per Takeoff
111 SFT",6,T-14-01-p06,,,,,,,,,,,,,,[],[]
